Scheme Name	Asset Value
Scheme Name	Net Asset Value
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0317
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1347
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.111
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.6635
Franklin India Banking & PSU Debt Fund - Growth	22.6402
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.5468
Franklin India Banking and PSU Debt Fund - IDCW	10.9213
HDFC Banking and PSU Debt Fund - Growth Option	23.1946
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.1642
HDFC Banking and PSU Debt Fund - IDCW Option	10.1929
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0036
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1714
HSBC Banking and PSU Debt Fund - Direct Growth	25.7901
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3651
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3274
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.095
HSBC Banking and PSU Debt Fund - Regular Growth	24.4753
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6277
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.2988
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.4205
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9954
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.0045
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9980
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1048.5828
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2444.7317
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1061.8607
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1009.35
Invesco India Banking and PSU Fund - Growth Option	2282.2339
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1060.0199
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.4969
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.4983
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.1423
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.1434
Kotak Banking and PSU Debt - Growth	65.8946
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3801
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.691
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2537
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.281
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.8827
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.2671
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0427
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2616
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.1007
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.1369
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3708
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.3527
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.3478
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0525
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0536
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	21.7233
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3720
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	21.7233
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7313
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.8776
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3714
NIPPON INDIA BANKING and PSU FUND - IDCW Option	20.9213
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6607
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.8124
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	21.7233
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	20.9213
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1471.2451
SBI BANKING & PSU FUND - Direct Plan - Growth	3340.1515
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1308.6595
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1467.9766
SBI BANKING & PSU FUND - Regular Paln - Growth	3141.3366
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1433.1646
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1226.2960
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1432.8219
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.0400
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.7625
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.4145
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.8050
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1309.3901
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1279.8869
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1148.5296
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1305.3336
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1144.7123
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1164.146
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1122.8171
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.5191
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1230.3956
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1124.4431
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1137.8609
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1105.4304
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.3264
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.432
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.55
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.9636
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5094
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.7836
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.0779
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.8637
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.8013
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2807
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.2103
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.1644
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.5233
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.5655
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7586
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8075
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0803
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6072
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2116
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2066
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.2492
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3423
Axis Corporate Bond Fund - Direct Plan Growth	18.2646
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2087
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1857
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.3224
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2215
Axis Corporate Bond Fund - Regular Plan Growth	17.2431
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5930
BANDHAN Corporate Bond Fund - Direct Growth	19.9608
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.9022
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3225
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.2427
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.6201
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5725
BANDHAN Corporate Bond Fund - Regular Growth	19.3757
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.2604
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5735
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.0618
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.6526
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.5677
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.1357
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4547
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5072
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.8166
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.4801
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6274
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7247
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4928
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.7650
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4958
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5281
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.4102
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.4664
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.8294
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6414
DSP Corporate Bond Fund - Direct - Growth	16.4261
DSP Corporate Bond Fund - Direct - IDCW	11.6157
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5954
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.4075
DSP Corporate Bond Fund - Regular - Growth	16.1387
DSP Corporate Bond Fund - Regular - IDCW	11.5817
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5708
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.7547
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	109.0420
Franklin India Corporate Debt Fund - Growth	100.6109
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.1754
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.3012
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.3062
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.3446
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8620
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.9828
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.4252
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1659
HDFC Corporate Bond Fund - Growth Option	32.78
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.5075
HDFC Corporate Bond Fund - IDCW Option	19.844
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.531
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4865
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.3863
HSBC Corporate Bond Fund - Direct Annual IDCW	12.1089
HSBC Corporate Bond Fund - Direct Growth	78.7196
